state,post_code,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
ACT,<10 sites,<10 sites,21,13568.8,21,13538.8,2,30,32.2,0,0
ACT,2914,BUSINESS,12,359.1,12,354.1,1,5,14,0,0
ACT,2607,BUSINESS,14,264.2,14,264.2,0,0,0,0,0
ACT,2609,RESIDENTIAL,15,96.6,15,86.6,1,10,10.5,0,0
ACT,2913,BUSINESS,15,262.5,15,262.5,0,0,0,0,0
ACT,2612,BUSINESS,17,466.2,17,466.2,0,0,0,0,0
ACT,2903,BUSINESS,19,248.6,19,248.6,0,0,0,0,0
ACT,2906,BUSINESS,20,555.1,20,555.1,0,0,0,0,0
ACT,2605,BUSINESS,21,736.5,20,705,5,26.5,140.9,0,0
ACT,2900,BUSINESS,21,2376.2,19,726.2,0,0,0,2,1650
ACT,2614,BUSINESS,24,338.4,24,338.4,0,0,0,0,0
ACT,2601,BUSINESS,25,1703.3,24,1103.3,0,0,0,1,600
ACT,2905,BUSINESS,27,548.2,27,548.2,0,0,0,0,0
ACT,2606,BUSINESS,29,578.2,29,578.2,0,0,0,0,0
ACT,2603,BUSINESS,30,2409.9,27,939.9,1,20,9.8,3,1450
ACT,2615,BUSINESS,30,1000.6,29,695.6,1,5,14,1,300
ACT,2618,RESIDENTIAL,33,251.4,33,226.4,4,25,57.8,0,0
ACT,2602,BUSINESS,34,736.1,34,736.1,0,0,0,0,0
ACT,2611,BUSINESS,34,1534.2,33,904.2,0,0,0,1,630
ACT,2620,RESIDENTIAL,34,214,34,214,0,0,0,0,0
ACT,2912,BUSINESS,34,1980,33,1785,0,0,0,1,195
ACT,2620,BUSINESS,35,901.2,35,901.2,0,0,0,0,0
ACT,2617,BUSINESS,49,1214.2,48,1127.7,1,25,9.8,1,61.5
ACT,2600,BUSINESS,61,2386.9,61,2376.9,1,10,19.6,0,0
ACT,2911,BUSINESS,64,1496.3,64,1491.3,1,5,4.5,0,0
ACT,2900,RESIDENTIAL,112,503.7,112,477.7,5,26,61.9,0,0
ACT,2609,BUSINESS,124,5606.09,121,3509.09,1,15,1.2,3,2082
ACT,2912,RESIDENTIAL,274,1261.1,273,1217.5,9,40,89.2,0,0
ACT,2911,RESIDENTIAL,275,1658.2,274,1556.8,15,101.4,177,0,0
ACT,2604,RESIDENTIAL,403,2051.7,400,1759.5,39,288.2,502.1,0,0
ACT,2612,RESIDENTIAL,460,2387.4,459,2138.3,36,249.1,388.9,0,0
ACT,2603,RESIDENTIAL,490,3061.9,485,2559.7,55,502.3,909.9,0,0
ACT,2600,RESIDENTIAL,519,2854.3,512,2582.6,45,271.8,523.1,0,0
ACT,2606,RESIDENTIAL,541,2527.9,536,2340.5,32,187.5,369.5,0,0
ACT,2903,RESIDENTIAL,803,3681.52,799,3512.12,27,169.4,263,0,0
ACT,2605,RESIDENTIAL,890,4436.4,881,4001.4,70,423.5,735.1,0,0
ACT,2607,RESIDENTIAL,1070,5144.29,1063,4788.99,59,351.4,600.2,0,0
ACT,2904,RESIDENTIAL,1331,5398,1329,5138.9,37,259.2,402,0,0
ACT,2906,RESIDENTIAL,1383,6181.464,1377,5918.764,37,262.7,430.3,0,0
ACT,2902,RESIDENTIAL,1470,6673.5,1469,6381.9,47,291.8,490.4,0,0
ACT,2614,RESIDENTIAL,1667,7472.7,1660,6989.8,87,483.1,933.6,0,0
ACT,2914,RESIDENTIAL,2021,10757.975,2016,10068.675,103,681.4,1218.2,0,0
ACT,2602,RESIDENTIAL,2136,10194.59,2122,9084.99,164,1110.1,1719.6,0,0
ACT,2617,RESIDENTIAL,2180,9895.25,2171,9414.15,85,477.1,838.3,0,0
ACT,2905,RESIDENTIAL,2354,10585.36,2345,10174.16,66,411.2,619.5,0,0
ACT,2913,RESIDENTIAL,2483,11382.5,2478,10875.5,76,507.3,810.5,0,0
ACT,2611,RESIDENTIAL,2950,14157.354,2940,13180.554,159,968.9,1567.2,0,0
ACT,2615,RESIDENTIAL,3676,16314.839,3659,15401.039,145,901.8,1594.5,0,0
NSW,<10 sites,<10 sites,966,20000.9,956,19832,16,168.5,179.2,4,1.4
NSW,2011,BUSINESS,10,214.5,10,214.5,0,0,0,0,0
NSW,2025,BUSINESS,10,105.9,10,105.9,0,0,0,0,0
NSW,2027,BUSINESS,10,176.5,10,176.5,0,0,0,0,0
NSW,2030,BUSINESS,10,200,10,187.5,1,12.5,28,0,0
NSW,2047,BUSINESS,10,85.8,10,85.8,0,0,0,0,0
NSW,2087,BUSINESS,10,274.3,10,274.3,0,0,0,0,0
NSW,2297,BUSINESS,10,97.9,10,73.8,4,24.1,40.1,0,0
NSW,2338,BUSINESS,10,107,10,107,0,0,0,0,0
NSW,2382,BUSINESS,10,209.5,10,209.5,0,0,0,0,0
NSW,2406,BUSINESS,10,85.6,10,85.6,0,0,0,0,0
NSW,2409,BUSINESS,10,89.1,10,89.1,0,0,0,0,0
NSW,2515,BUSINESS,10,117,10,117,0,0,0,0,0
NSW,2525,BUSINESS,10,120,10,120,0,0,0,0,0
NSW,2572,BUSINESS,10,107,10,107,0,0,0,0,0
NSW,2581,BUSINESS,10,90.1,10,90.1,0,0,0,0,0
NSW,2628,BUSINESS,10,116.2,10,116.2,0,0,0,0,0
NSW,2716,BUSINESS,10,68.8,10,68.8,0,0,0,0,0
NSW,2739,BUSINESS,10,145.1,10,145.1,0,0,0,0,0
NSW,2754,BUSINESS,10,60,10,60,0,0,0,0,0
NSW,2782,BUSINESS,10,56,10,56,0,0,0,0,0
NSW,2831,BUSINESS,10,117.4,10,117.4,0,0,0,0,0
NSW,2022,BUSINESS,11,281.9,11,281.9,0,0,0,0,0
NSW,2034,BUSINESS,11,126.1,11,126.1,0,0,0,0,0
NSW,2043,BUSINESS,11,280.8,11,280.8,0,0,0,0,0
NSW,2048,BUSINESS,11,331.8,11,331.8,0,0,0,0,0
NSW,2070,BUSINESS,11,108.1,11,102.7,1,5.4,5,0,0
NSW,2193,BUSINESS,11,365.7,11,365.7,0,0,0,0,0
NSW,2203,BUSINESS,11,107.6,11,107.6,0,0,0,0,0
