state,post_code,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
ACT,2600,BUSINESS,63,2424.6,63,2414.6,1,10.0,19.6,0,0.0
ACT,2600,RESIDENTIAL,533,2974.0,526,2702.3,45,271.8,523.1,0,0.0
ACT,2601,BUSINESS,27,29515.6,26,28915.6,0,0.0,0.0,1,600.0
ACT,2602,BUSINESS,35,766.0,35,751.0,1,15.0,42.0,0,0.0
ACT,2602,RESIDENTIAL,2159,10419.59,2145,9299.99,166,1120.1,1743.4,0,0.0
ACT,2603,BUSINESS,32,2608.96,29,1138.96,1,20.0,9.8,3,1450.0
ACT,2603,RESIDENTIAL,492,3155.1,487,2637.9,56,517.3,951.9,0,0.0
ACT,2604,BUSINESS,10,208.1,10,208.1,0,0.0,0.0,0,0.0
ACT,2604,RESIDENTIAL,405,2069.7,402,1772.5,40,293.2,516.1,0,0.0
ACT,2605,BUSINESS,21,736.5,20,705.0,5,26.5,140.9,0,0.0
ACT,2605,RESIDENTIAL,895,4505.5,886,4064.5,71,429.5,744.9,0,0.0
ACT,2606,BUSINESS,29,578.2,29,578.2,0,0.0,0.0,0,0.0
ACT,2606,RESIDENTIAL,544,2616.975,539,2429.575,32,187.5,369.5,0,0.0
ACT,2607,BUSINESS,14,264.2,14,264.2,0,0.0,0.0,0,0.0
ACT,2607,RESIDENTIAL,1075,5184.29,1068,4823.99,60,356.4,610.0,0,0.0
ACT,2609,RESIDENTIAL,15,96.6,15,86.6,1,10.0,10.5,0,0.0
ACT,2609,BUSINESS,126,5681.89,123,3584.89,1,15.0,1.2,3,2082.0
ACT,2611,BUSINESS,35,1543.5,34,913.5,0,0.0,0.0,1,630.0
ACT,2611,RESIDENTIAL,2978,14420.834,2968,13423.034,163,989.9,1606.4,0,0.0
ACT,2612,BUSINESS,21,596.4,21,596.4,0,0.0,0.0,0,0.0
ACT,2612,RESIDENTIAL,464,2421.3,463,2172.2,36,249.1,388.9,0,0.0
ACT,2614,BUSINESS,24,338.4,24,338.4,0,0.0,0.0,0,0.0
ACT,2614,RESIDENTIAL,1677,7571.1,1670,7073.2,90,498.1,975.6,0,0.0
ACT,2615,BUSINESS,31,1096.6,30,791.6,1,5.0,14.0,1,300.0
ACT,2615,RESIDENTIAL,3725,16722.559,3708,15778.859,150,931.9,1647.7,0,0.0
ACT,2617,BUSINESS,49,1214.2,48,1127.7,1,25.0,9.8,1,61.5
ACT,2617,RESIDENTIAL,2206,10147.75,2197,9643.15,88,500.6,862.9,0,0.0
ACT,2618,RESIDENTIAL,34,271.8,34,246.8,4,25.0,57.8,0,0.0
ACT,2620,RESIDENTIAL,34,214.0,34,214.0,0,0.0,0.0,0,0.0
ACT,2620,BUSINESS,35,901.1,35,901.1,0,0.0,0.0,0,0.0
ACT,2900,,10,31280.0,10,31280.0,0,0.0,0.0,0,0.0
ACT,2900,BUSINESS,23,2185.4,21,535.4,0,0.0,0.0,2,1650.0
ACT,2900,RESIDENTIAL,116,535.1,116,504.1,6,31.0,75.9,0,0.0
ACT,2902,RESIDENTIAL,1478,6763.9,1477,6467.3,48,296.8,496.7,0,0.0
ACT,2903,BUSINESS,19,248.6,19,248.6,0,0.0,0.0,0,0.0
ACT,2903,RESIDENTIAL,811,3746.22,806,3566.82,28,170.4,268.7,0,0.0
ACT,2904,BUSINESS,10,172.3,10,172.3,0,0.0,0.0,0,0.0
ACT,2904,RESIDENTIAL,1343,5528.4,1340,5243.4,41,285.2,463.6,0,0.0
ACT,2905,BUSINESS,27,548.2,27,548.2,0,0.0,0.0,0,0.0
ACT,2905,RESIDENTIAL,2369,10692.66,2360,10275.46,67,417.2,629.3,0,0.0
ACT,2906,BUSINESS,20,555.1,20,555.1,0,0.0,0.0,0,0.0
ACT,2906,RESIDENTIAL,1396,6281.964,1390,6014.264,38,267.7,444.3,0,0.0
ACT,2911,BUSINESS,66,1594.6,66,1589.6,1,5.0,4.5,0,0.0
ACT,2911,RESIDENTIAL,276,1681.8,275,1580.4,15,101.4,177.0,0,0.0
ACT,2912,BUSINESS,35,2013.3,34,1818.3,0,0.0,0.0,1,195.0
ACT,2912,RESIDENTIAL,275,1277.7,274,1229.1,10,45.0,103.2,0,0.0
ACT,2913,BUSINESS,16,362.5,16,362.5,0,0.0,0.0,0,0.0
ACT,2913,RESIDENTIAL,2504,11569.6,2499,11047.5,79,522.3,848.3,0,0.0
ACT,2914,BUSINESS,13,367.2,13,362.2,1,5.0,14.0,0,0.0
