state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
ACT,<10 sites,,33,13716.2,32,13660.8,5,46.4,67.8,0,0.0
ACT,2914,BUSINESS,12,477.8,12,477.8,0,0.0,0.0,0,0.0
ACT,2914,RESIDENTIAL,2584,15805.684,2502,14655.985,192,915.4,1732.3,0,0.0
ACT,2913,BUSINESS,19,448.1,19,448.1,0,0.0,0.0,0,0.0
ACT,2913,RESIDENTIAL,3154,17236.999,3079,16269.199,161,726.0,1330.7,0,0.0
ACT,2912,BUSINESS,36,2088.0,35,1893.0,0,0.0,0.0,1,195.0
ACT,2912,RESIDENTIAL,330,1683.34,318,1579.8,21,72.0,162.2,0,0.0
ACT,2911,BUSINESS,70,1678.9,70,1673.9,1,5.0,4.5,0,0.0
ACT,2911,RESIDENTIAL,364,2466.7,348,2284.3,31,121.4,217.0,0,0.0
ACT,2906,BUSINESS,22,606.1,22,606.1,0,0.0,0.0,0,0.0
ACT,2906,RESIDENTIAL,1693,8634.175,1644,8121.175,86,379.8,715.1,0,0.0
ACT,2905,BUSINESS,26,546.4,26,546.4,0,0.0,0.0,0,0.0
ACT,2905,RESIDENTIAL,2916,14981.698,2811,14035.7,174,664.8,1179.8,0,0.0
ACT,2904,BUSINESS,10,172.3,10,172.3,0,0.0,0.0,0,0.0
ACT,2904,RESIDENTIAL,1588,7647.629,1537,7056.029,93,424.8,803.5,0,0.0
ACT,2903,BUSINESS,19,248.6,19,248.6,0,0.0,0.0,0,0.0
ACT,2903,RESIDENTIAL,938,4828.1,915,4543.7,50,220.2,386.5,0,0.0
ACT,2902,RESIDENTIAL,1702,8718.06,1677,8271.26,76,378.6,690.0,0,0.0
ACT,2900,,10,31280.0,10,31280.0,0,0.0,0.0,0,0.0
ACT,2900,BUSINESS,57,2382.6,53,721.6,2,2.0,0.0,2,1650.0
ACT,2900,RESIDENTIAL,144,724.3,138,652.3,15,58.0,135.2,0,0.0
ACT,2620,BUSINESS,35,918.62,35,918.62,0,0.0,0.0,0,0.0
