state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
ACT,<10 sites,,42,13908.5,42,13860.8,5,47.7,58.0,0,0.0
NSW ,< 10 sites,,940,19564.35,934,19382.18,15,169.9,194.2,2,13.27
QLD,< 10 sites,,828,9967.22,827,9773.42,20,193.8,235.4,0,0.0
SA,< 10 sites,,825,102972.87,789,38385.07,64,2259.0,2197.2,16,62329.0
TAS,< 10 sites,,225,3230.555,221,3180.0,3,40.0,55.8,3,10.555
VIC,< 10 sites,,1463,236449.493,1416,79930.553,51,6747.6,15545.1,21,149771.44
WA,< 10 sites,,284,1746.8,280,1659.8,0,0.0,0.0,5,87.0
NSW,2009,RESIDENTIAL,10,30.8,10,30.8,0,0.0,0.0,0,0.0
VIC,3255,RESIDENTIAL,10,36.7,10,36.7,0,0.0,0.0,0,0.0
QLD,4491,RESIDENTIAL,10,44.8,10,44.8,0,0.0,0.0,0,0.0
WA,6361,,10,51.0,10,51.0,0,0.0,0.0,0,0.0
WA,6363,,10,51.0,10,51.0,0,0.0,0.0,0,0.0
VIC,3420,BUSINESS,10,53.06,10,53.06,0,0.0,0.0,0,0.0
VIC,3235,BUSINESS,10,62.89,9,57.89,1,5.0,14.0,0,0.0
QLD,4069,(blank),10,64.2,9,59.2,1,5.0,13.0,0,0.0
QLD,4418,RESIDENTIAL,10,65.1,10,65.1,0,0.0,0.0,0,0.0
SA,5141,BUSINESS,10,65.769,9,60.769,1,5.0,14.0,0,0.0
QLD,4427,BUSINESS,10,67.0,10,67.0,0,0.0,0.0,0,0.0
NSW,2769,BUSINESS,10,68.6,10,68.6,0,0.0,0.0,0,0.0
NSW,2716,BUSINESS,10,68.8,10,68.8,0,0.0,0.0,0,0.0
QLD,4115,(blank),10,70.0,10,70.0,0,0.0,0.0,0,0.0
QLD,4179,(blank),10,70.6,10,70.6,0,0.0,0.0,0,0.0
SA,5012,(blank),10,74.0,10,64.0,1,10.0,11.6,0,0.0
SA,5108,(blank),10,74.3,10,74.3,0,0.0,0.0,0,0.0
VIC,3695,BUSINESS,10,75.12,8,55.52,2,19.6,19.6,0,0.0
QLD,4673,BUSINESS,10,76.4,10,76.4,0,0.0,0.0,0,0.0
NSW,2765,(blank),10,78.0,10,78.0,0,0.0,0.0,0,0.0
SA,5025,(blank),10,83.3,10,73.3,1,10.0,11.6,0,0.0
NSW,2406,BUSINESS,10,85.6,10,85.6,0,0.0,0.0,0,0.0
SA,5013,(blank),10,87.8,10,77.8,1,10.0,11.6,0,0.0
VIC,3540,BUSINESS,10,88.5,10,88.5,0,0.0,0.0,0,0.0
NSW,2409,BUSINESS,10,89.1,10,89.1,0,0.0,0.0,0,0.0
SA,5654,BUSINESS,10,89.9,10,89.9,0,0.0,0.0,0,0.0
NSW,2581,BUSINESS,10,90.1,10,90.1,0,0.0,0.0,0,0.0
VIC,3105,BUSINESS,10,91.0,10,91.0,0,0.0,0.0,0,0.0
QLD,4580,(blank),10,91.7,10,72.1,2,19.6,25.0,0,0.0
VIC,3482,BUSINESS,10,93.8,10,93.8,0,0.0,0.0,0,0.0
VIC,3512,BUSINESS,10,97.6,10,97.6,0,0.0,0.0,0,0.0
QLD,4575,(blank),10,103.2,10,98.2,1,5.0,22.1,0,0.0
NSW,2338,BUSINESS,10,107.0,10,107.0,0,0.0,0.0,0,0.0
NSW,2572,BUSINESS,10,107.0,10,107.0,0,0.0,0.0,0,0.0
VIC,3407,BUSINESS,10,111.5,10,111.5,0,0.0,0.0,0,0.0
SA,5011,(blank),10,113.7,10,108.7,1,5.0,13.3,0,0.0
NSW,2628,BUSINESS,10,116.2,10,116.2,0,0.0,0.0,0,0.0
NSW,2831,BUSINESS,10,117.4,10,117.4,0,0.0,0.0,0,0.0
NSW,2515,BUSINESS,10,122.4,10,122.4,0,0.0,0.0,0,0.0
SA,5166,BUSINESS,10,128.1,10,128.1,0,0.0,0.0,0,0.0
NSW,2785,BUSINESS,10,136.9,10,136.9,0,0.0,0.0,0,0.0
VIC,3919,BUSINESS,10,140.2,10,140.2,0,0.0,0.0,0,0.0
VIC,3698,BUSINESS,10,140.55,10,140.55,0,0.0,0.0,0,0.0
VIC,3030,(blank),10,141.3,10,141.3,0,0.0,0.0,0,0.0
VIC,3581,BUSINESS,10,141.5,10,141.5,0,0.0,0.0,0,0.0
NSW,2739,BUSINESS,10,145.1,10,145.1,0,0.0,0.0,0,0.0
ACT,2904,BUSINESS,10,172.3,10,172.3,0,0.0,0.0,0,0.0
NSW,2027,BUSINESS,10,176.6,10,176.6,0,0.0,0.0,0,0.0
NSW,2733,BUSINESS,10,190.6,10,190.6,0,0.0,0.0,0,0.0
QLD,4705,BUSINESS,10,198.1,10,193.5,1,4.6,6.0,0,0.0
NSW,2382,BUSINESS,10,209.5,10,209.5,0,0.0,0.0,0,0.0
NSW,2767,BUSINESS,10,223.0,10,223.0,0,0.0,0.0,0,0.0
VIC,3596,BUSINESS,10,248.61,10,248.61,0,0.0,0.0,0,0.0
SA,5040,BUSINESS,10,262.5,10,262.5,0,0.0,0.0,0,0.0
SA,5731,BUSINESS,10,285.3,10,285.3,0,0.0,0.0,0,0.0
VIC,3865,BUSINESS,10,296.3,10,296.3,0,0.0,0.0,0,0.0
NSW,2087,BUSINESS,10,298.6,10,298.6,0,0.0,0.0,0,0.0
QLD,4745,BUSINESS,10,391.3,10,391.3,0,0.0,0.0,0,0.0
TAS,7252,BUSINESS,10,439.3,9,437.8,0,0.0,0.0,1,1.5
VIC,3607,BUSINESS,10,827.3,10,827.3,0,0.0,0.0,0,0.0
ACT,2900,(blank),10,31280.0,10,31280.0,0,0.0,0.0,0,0.0
SA,5471,RESIDENTIAL,11,49.2,11,49.2,0,0.0,0.0,0,0.0
QLD,4498,RESIDENTIAL,11,51.0,11,51.0,0,0.0,0.0,0,0.0
SA,5273,RESIDENTIAL,11,53.8,10,48.8,1,5.0,14.0,0,0.0
VIC,3309,RESIDENTIAL,11,55.8,11,55.8,0,0.0,0.0,0,0.0
WA,6386,,11,55.8,11,55.8,0,0.0,0.0,0,0.0
TAS,7211,RESIDENTIAL,11,59.4,11,59.4,0,0.0,0.0,0,0.0
NSW,2411,RESIDENTIAL,11,60.8,11,60.8,0,0.0,0.0,0,0.0
QLD,4558,(blank),11,61.2,11,61.2,0,0.0,0.0,0,0.0
NSW,2754,BUSINESS,11,62.0,11,62.0,0,0.0,0.0,0,0.0
NSW,2387,RESIDENTIAL,11,62.2,11,62.2,0,0.0,0.0,0,0.0
QLD,4857,RESIDENTIAL,11,63.2,11,63.2,0,0.0,0.0,0,0.0
WA,6575,,11,64.8,11,64.8,0,0.0,0.0,0,0.0
NSW,2783,BUSINESS,11,67.0,11,67.0,0,0.0,0.0,0,0.0
WA,6343,,11,67.4,10,61.6,1,5.0,28.0,1,0.8
VIC,3918,BUSINESS,11,68.0,11,68.0,0,0.0,0.0,0,0.0
SA,5552,BUSINESS,11,69.1,11,69.1,0,0.0,0.0,0,0.0
QLD,4402,BUSINESS,11,75.3,11,75.3,0,0.0,0.0,0,0.0
VIC,3000,RESIDENTIAL,11,78.31,11,78.31,0,0.0,0.0,0,0.0
NSW,2782,BUSINESS,11,79.0,11,79.0,0,0.0,0.0,0,0.0
QLD,4423,BUSINESS,11,79.3,11,79.3,0,0.0,0.0,0,0.0
SA,5495,BUSINESS,11,79.6,11,79.6,0,0.0,0.0,0,0.0
SA,5024,(blank),11,82.7,11,77.7,1,5.0,6.5,0,0.0
VIC,3596,RESIDENTIAL,11,84.0,11,84.0,0,0.0,0.0,0,0.0
QLD,4184,(blank),11,85.7,11,85.7,0,0.0,0.0,0,0.0
QLD,4211,(blank),11,88.0,11,88.0,0,0.0,0.0,0,0.0
VIC,3321,BUSINESS,11,89.0,11,89.0,0,0.0,0.0,0,0.0
VIC,3226,(blank),11,91.3,11,86.3,1,5.0,14.0,0,0.0
SA,5051,(blank),11,93.0,11,78.0,2,15.0,17.4,0,0.0
SA,5372,(blank),11,93.7,11,73.7,2,20.0,22.4,0,0.0
SA,5047,(blank),11,94.4,10,79.4,2,15.0,25.6,0,0.0
NSW,2226,BUSINESS,11,94.9,11,94.9,0,0.0,0.0,0,0.0
QLD,4518,(blank),11,95.2,11,95.2,0,0.0,0.0,0,0.0
VIC,3781,BUSINESS,11,97.6,11,97.6,0,0.0,0.0,0,0.0
SA,5221,BUSINESS,11,97.7,11,97.7,0,0.0,0.0,0,0.0
SA,5560,BUSINESS,11,98.7,11,98.7,0,0.0,0.0,0,0.0
QLD,4695,BUSINESS,11,99.5,11,99.5,0,0.0,0.0,0,0.0
QLD,4031,(blank),11,99.9,11,87.1,1,12.8,12.8,0,0.0
NSW,2545,BUSINESS,11,100.5,11,100.5,0,0.0,0.0,0,0.0
NSW,2119,BUSINESS,11,102.2,11,102.2,0,0.0,0.0,0,0.0
VIC,3788,BUSINESS,11,102.4,11,102.4,0,0.0,0.0,0,0.0
QLD,4216,(blank),11,103.3,11,103.3,0,0.0,0.0,0,0.0
NSW,2427,BUSINESS,11,107.1,11,107.1,0,0.0,0.0,0,0.0
SA,5072,(blank),11,110.1,10,95.1,2,15.0,25.6,0,0.0
NSW,2222,BUSINESS,11,113.9,11,108.9,1,5.0,7.4,0,0.0
SA,5043,(blank),11,119.4,11,79.4,4,40.0,46.4,0,0.0
VIC,3887,BUSINESS,11,128.8,10,103.8,2,25.0,28.1,0,0.0
