state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
ACT,<10 sites,,28,251.6,26,241.6,2,10,28,0,0
NSW,<10 sites,,965,22823.275,958,22634.705,16,175.3,216.9,2,13.27
QLD,<10 sites,,764,9219.1,756,8885.9,25,333.2,508.1,0,0
SA,<10 sites,,768,120034.049,726,33327.649,76,24377.6,11330.5,16,62329
TAS,<10 sites,,218,3557.355,215,3500.1,5,53,93.6,2,4.255
VIC,<10 sites,,1504,328025.449,1460,114018.409,62,5611.2,14649.5,22,208395.94
NSW,2045,BUSINESS,10,308.5,10,308.5,0,0,0,0,0
NSW,2072,BUSINESS,10,309.6,10,309.6,0,0,0,0,0
NSW,2087,BUSINESS,10,298.6,10,298.6,0,0,0,0,0
NSW,2097,BUSINESS,10,205.2,10,205.2,0,0,0,0,0
NSW,2267,BUSINESS,10,254.5,10,254.5,0,0,0,0,0
NSW,2338,BUSINESS,10,107,10,107,0,0,0,0,0
NSW,2382,BUSINESS,10,209.5,10,209.5,0,0,0,0,0
NSW,2409,BUSINESS,10,89.1,10,89.1,0,0,0,0,0
NSW,2545,BUSINESS,10,98.5,10,98.5,0,0,0,0,0
NSW,2557,(blank),10,79.7,10,79.7,0,0,0,0,0
NSW,2564,BUSINESS,10,218.3,10,218.3,0,0,0,0,0
NSW,2572,BUSINESS,10,107,10,107,0,0,0,0,0
NSW,2581,BUSINESS,10,90.1,10,90.1,0,0,0,0,0
NSW,2628,BUSINESS,10,116.2,10,116.2,0,0,0,0,0
NSW,2716,BUSINESS,10,68.8,10,68.8,0,0,0,0,0
NSW,2733,BUSINESS,10,190.6,10,190.6,0,0,0,0,0
NSW,2739,BUSINESS,10,145.1,10,145.1,0,0,0,0,0
NSW,2785,BUSINESS,10,149.6,10,149.6,0,0,0,0,0
NSW,2823,BUSINESS,10,124.3,10,124.3,0,0,0,0,0
NSW,2831,BUSINESS,10,117.4,10,117.4,0,0,0,0,0
QLD,4019,(blank),10,114.6,10,109.6,1,5,5,0,0
QLD,4055,(blank),10,62,10,62,0,0,0,0,0
QLD,4113,(blank),10,71.3,10,71.3,0,0,0,0,0
QLD,4272,(blank),10,66.3,9,60.3,1,6,11,0,0
QLD,4376,BUSINESS,10,175.2,10,175.2,0,0,0,0,0
QLD,4385,BUSINESS,10,137.3,10,137.3,0,0,0,0,0
QLD,4400,BUSINESS,10,288.6,10,288.6,0,0,0,0,0
QLD,4418,RESIDENTIAL,10,65.1,10,65.1,0,0,0,0,0
QLD,4488,BUSINESS,10,80.8,10,70.8,1,10,19.2,0,0
QLD,4515,(blank),10,115.8,10,105.8,1,10,16,0,0
QLD,4732,BUSINESS,10,96.5,10,91.5,1,5,6,0,0
QLD,4733,RESIDENTIAL,10,72.7,10,72.7,0,0,0,0,0
QLD,4750,BUSINESS,10,542.8,10,542.8,0,0,0,0,0
SA,5000,(blank),10,242.5,10,242.5,0,0,0,0,0
SA,5011,(blank),10,263.3,9,168.6,2,94.7,66.6,0,0
SA,5013,(blank),10,91.2,9,71.2,3,20,26.8,0,0
SA,5014,(blank),10,84.1,10,69.1,2,15,23.6,0,0
SA,5040,BUSINESS,10,262.5,10,262.5,0,0,0,0,0
SA,5136,BUSINESS,10,150.6,10,125.6,2,25,30.4,0,0
SA,5141,BUSINESS,10,65.769,9,60.769,1,5,14,0,0
SA,5162,(blank),10,163.8,10,123.8,2,40,54.3,0,0
SA,5166,BUSINESS,10,128.1,10,128.1,0,0,0,0,0
SA,5238,(blank),10,4992.1,10,4992.1,0,0,0,0,0
SA,5310,RESIDENTIAL,10,60.1,9,55.1,1,5,13.3,0,0
SA,5352,(blank),10,98,10,98,0,0,0,0,0
SA,5556,(blank),10,105.4,10,95.4,1,10,11.6,0,0
TAS,7300,BUSINESS,10,235.5,10,235.5,0,0,0,0,0
VIC,3113,BUSINESS,10,235.9,10,235.9,0,0,0,0,0
VIC,3200,BUSINESS,10,212.25,10,212.25,0,0,0,0,0
VIC,3234,BUSINESS,10,83.2,10,78.3,1,5,4.8,0,0
VIC,3267,BUSINESS,10,163.3,10,143.3,2,20,32,0,0
VIC,3276,BUSINESS,10,210.3,10,210.3,0,0,0,0,0
VIC,3286,BUSINESS,10,231.2,10,211.2,1,20,19.2,0,0
VIC,3407,BUSINESS,10,111.5,10,111.5,0,0,0,0,0
VIC,3420,BUSINESS,10,53.06,10,53.06,0,0,0,0,0
VIC,3540,BUSINESS,10,88.5,10,88.5,0,0,0,0,0
VIC,3697,BUSINESS,10,114.46,10,114.46,0,0,0,0,0
VIC,3711,BUSINESS,10,1405.85,9,55.85,1,1350,1400,0,0
VIC,3874,BUSINESS,10,266.7,9,265.7,1,1,1,0,0
VIC,3918,BUSINESS,10,64.7,10,64.7,0,0,0,0,0
VIC,3919,BUSINESS,10,140.2,10,140.2,0,0,0,0,0
VIC,3957,BUSINESS,10,160.5,10,160.5,0,0,0,0,0
ACT,2900,(blank),11,44280,11,44280,0,0,0,0,0
NSW,2009,RESIDENTIAL,11,36.5,11,36.5,0,0,0,0,0
NSW,2110,BUSINESS,11,234.5,11,234.5,0,0,0,0,0
NSW,2115,BUSINESS,11,122.9,11,122.9,0,0,0,0,0
NSW,2152,BUSINESS,11,922.9,11,922.9,0,0,0,0,0
NSW,2226,BUSINESS,11,94.9,11,94.9,0,0,0,0,0
NSW,2334,BUSINESS,11,212.9,11,198.9,1,14,7.4,0,0
NSW,2387,RESIDENTIAL,11,62.2,11,62.2,0,0,0,0,0
NSW,2404,BUSINESS,11,224.9,11,224.9,0,0,0,0,0
NSW,2411,RESIDENTIAL,11,60.8,11,60.8,0,0,0,0,0
NSW,2427,BUSINESS,11,107.1,11,107.1,0,0,0,0,0
NSW,2578,BUSINESS,11,196,11,196,0,0,0,0,0
NSW,2660,BUSINESS,11,192.8,11,192.8,0,0,0,0,0
NSW,2754,(blank),11,72,11,72,0,0,0,0,0
NSW,2768,BUSINESS,11,68.34,11,68.34,0,0,0,0,0
