state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_Devices,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_Devices,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
ACT,<10 sites,,21,13178.9,20,21,13173.9,1,1,5,14,0,0
NSW,<10 sites,,969,21759.055,962,964,21580.885,15,16,164.9,212.4,2,13.27
QLD,<10 sites,,778,9635.52,774,775,9415.32,21,21,220.2,271,0,0
SA,<10 sites,,812,120422.449,767,768,33746.049,77,81,24347.6,11347.2,16,62329
TAS,<10 sites,,225,3715.935,222,222,3676.68,3,3,35,56,2,4.255
VIC,<10 sites,,1483,291748.554,1432,1440,99489.914,63,64,34487.4,48627.1,24,157771.44
QLD,4305,(blank),10,166.7,6,6,42.7,5,5,124,244,0,0
QLD,4019,(blank),10,114.6,10,10,109.6,1,1,5,5,0,0
QLD,4113,(blank),10,71.3,10,10,71.3,0,0,0,0,0,0
QLD,4673,BUSINESS,10,76.4,10,10,76.4,0,0,0,0,0,0
QLD,4738,BUSINESS,10,155.9,10,10,155.9,0,0,0,0,0,0
QLD,4385,BUSINESS,10,137.3,10,10,137.3,0,0,0,0,0,0
QLD,4376,BUSINESS,10,175.2,10,10,175.2,0,0,0,0,0,0
QLD,4418,RESIDENTIAL,10,65.1,10,10,65.1,0,0,0,0,0,0
VIC,3919,BUSINESS,10,140.2,10,10,140.2,0,0,0,0,0,0
VIC,3977,(blank),10,86.4,10,10,86.4,0,0,0,0,0,0
VIC,3338,(blank),10,82.9,10,10,82.9,0,0,0,0,0,0
VIC,3216,(blank),10,166.5,10,10,141.5,2,2,25,65.2,0,0
VIC,3113,BUSINESS,10,235.9,10,10,235.9,0,0,0,0,0,0
VIC,3687,BUSINESS,10,104.52,10,10,104.52,0,0,0,0,0,0
VIC,3200,BUSINESS,10,186.75,10,10,186.75,0,0,0,0,0,0
VIC,3711,BUSINESS,10,1405.85,9,9,55.85,1,1,1350,1400,0,0
VIC,3540,BUSINESS,10,88.5,10,10,88.5,0,0,0,0,0,0
VIC,3267,BUSINESS,10,163.3,10,10,143.3,2,2,20,32,0,0
VIC,3482,BUSINESS,10,93.8,10,10,93.8,0,0,0,0,0,0
VIC,3918,BUSINESS,10,64.7,10,10,64.7,0,0,0,0,0,0
VIC,3697,BUSINESS,10,114.46,10,10,114.46,0,0,0,0,0,0
VIC,3243,BUSINESS,10,101.2,10,10,101.2,0,0,0,0,0,0
VIC,3407,BUSINESS,10,111.5,10,10,111.5,0,0,0,0,0,0
VIC,3581,BUSINESS,10,141.5,10,10,141.5,0,0,0,0,0,0
VIC,3572,BUSINESS,10,191.8,10,10,191.8,0,0,0,0,0,0
SA,5238,(blank),10,4985.5,10,10,4985.5,0,0,0,0,0,0
SA,5401,BUSINESS,10,166.4,10,10,166.4,0,0,0,0,0,0
SA,5096,(blank),10,74.9,10,10,74.9,0,0,0,0,0,0
SA,5141,BUSINESS,10,65.769,9,9,60.769,1,1,5,14,0,0
SA,5097,(blank),10,86,10,10,66,2,2,20,23.2,0,0
SA,5166,BUSINESS,10,128.1,10,10,128.1,0,0,0,0,0,0
SA,5011,(blank),10,153.1,10,10,148.1,1,1,5,13.3,0,0
SA,5000,(blank),10,241.2,10,10,241.2,0,0,0,0,0,0
SA,5092,(blank),10,76.2,10,10,66.2,1,1,10,11.6,0,0
SA,5040,BUSINESS,10,262.5,10,10,262.5,0,0,0,0,0,0
SA,5310,RESIDENTIAL,10,60.1,9,9,55.1,1,1,5,13.3,0,0
NSW,2087,BUSINESS,10,298.6,10,10,298.6,0,0,0,0,0,0
NSW,2382,BUSINESS,10,209.5,10,10,209.5,0,0,0,0,0,0
NSW,2097,BUSINESS,10,205.2,10,10,205.2,0,0,0,0,0,0
NSW,2515,BUSINESS,10,125.2,10,10,125.2,0,0,0,0,0,0
NSW,2572,BUSINESS,10,107,10,10,107,0,0,0,0,0,0
NSW,2115,BUSINESS,10,82.9,10,10,82.9,0,0,0,0,0,0
NSW,2581,BUSINESS,10,90.1,10,10,90.1,0,0,0,0,0,0
NSW,2338,BUSINESS,10,107,10,10,107,0,0,0,0,0,0
NSW,2716,BUSINESS,10,68.8,10,10,68.8,0,0,0,0,0,0
NSW,2739,BUSINESS,10,145.1,10,10,145.1,0,0,0,0,0,0
NSW,2045,BUSINESS,10,308.5,10,10,308.5,0,0,0,0,0,0
NSW,2733,BUSINESS,10,190.6,10,10,190.6,0,0,0,0,0,0
NSW,2831,BUSINESS,10,117.4,10,10,117.4,0,0,0,0,0,0
NSW,2823,BUSINESS,10,124.3,10,10,124.3,0,0,0,0,0,0
NSW,2409,BUSINESS,10,89.1,10,10,89.1,0,0,0,0,0,0
NSW,2564,BUSINESS,10,218.3,10,10,218.3,0,0,0,0,0,0
NSW,2406,BUSINESS,10,85.6,10,10,85.6,0,0,0,0,0,0
NSW,2152,BUSINESS,10,914.8,10,11,914.8,0,0,0,0,0,0
NSW,2525,BUSINESS,10,122.3,10,10,122.3,0,0,0,0,0,0
NSW,2628,BUSINESS,10,116.2,10,10,116.2,0,0,0,0,0,0
NSW,2009,RESIDENTIAL,10,30.8,10,10,30.8,0,0,0,0,0,0
ACT,2902,BUSINESS,10,482.1,9,9,477.1,1,1,5,14,0,0
ACT,2900,(blank),10,31280,10,10,31280,0,0,0,0,0,0
QLD,4518,(blank),11,103.8,11,12,103.8,0,0,0,0,0,0
QLD,4311,(blank),11,148.5,11,11,148.5,0,0,0,0,0,0
QLD,4400,BUSINESS,11,293,11,11,293,0,0,0,0,0,0
QLD,4115,(blank),11,76.6,11,11,76.6,0,0,0,0,0,0
QLD,4070,(blank),11,86.5,10,10,71.5,2,2,15,29.5,0,0
QLD,4695,BUSINESS,11,99.5,11,11,99.5,0,0,0,0,0,0
