DERR data,postcode,NMI_Bus_res,Sum of Num_DER_Sites,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_Devices,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_Devices,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
ACT,<10 sites,,20,28,44437.4,27,28,44432.4,1,1,5.0,14.0,0,0.0
NSW,<10 sites,,1029,1071,25545.064,1062,1067,25149.594,42,43,382.2,573.3,2,13.27
QLD,<10 sites,,754,785,11165.7,777,780,10741.1,33,33,424.6,666.2,0,0.0
SA,<10 sites,,925,1043,259576.65,981,982,48465.05,122,127,25756.8,12751.5,15,185355.0
TAS,<10 sites,,220,230,3696.055,225,225,3616.6,8,8,75.2,136.8,2,4.255
VIC,<10 sites,,1392,1458,350194.229,1411,1422,136106.589,68,69,5691.8,14673.0,22,208395.94
NSW,2800,(blank),10,10,100.6,10,10,87.6,1,1,13.0,14.4,0,0.0
NSW,2570,(blank),10,10,84.7,10,10,84.7,0,0,0.0,0.0,0,0.0
NSW,2382,BUSINESS,10,10,209.5,10,10,209.5,0,0,0.0,0.0,0,0.0
NSW,2133,BUSINESS,10,10,121.7,10,10,91.7,2,2,30.0,39.2,0,0.0
NSW,2754,(blank),10,10,65.4,10,10,65.4,0,0,0.0,0.0,0,0.0
NSW,2072,BUSINESS,10,10,309.6,10,10,309.6,0,0,0.0,0.0,0,0.0
NSW,2581,BUSINESS,10,10,90.1,10,10,90.1,0,0,0.0,0.0,0,0.0
NSW,2716,BUSINESS,10,10,68.8,10,10,68.8,0,0,0.0,0.0,0,0.0
NSW,2739,BUSINESS,10,10,145.1,10,10,145.1,0,0,0.0,0.0,0,0.0
NSW,2045,BUSINESS,10,10,308.5,10,10,308.5,0,0,0.0,0.0,0,0.0
NSW,2733,BUSINESS,10,10,190.6,10,10,190.6,0,0,0.0,0.0,0,0.0
NSW,2785,BUSINESS,10,10,171.9,10,10,171.9,0,0,0.0,0.0,0,0.0
NSW,2831,BUSINESS,10,10,117.4,10,10,117.4,0,0,0.0,0.0,0,0.0
NSW,2823,BUSINESS,10,10,124.3,10,10,124.3,0,0,0.0,0.0,0,0.0
NSW,2545,BUSINESS,10,10,98.5,10,10,98.5,0,0,0.0,0.0,0,0.0
NSW,2267,BUSINESS,10,10,254.5,10,10,254.5,0,0,0.0,0.0,0,0.0
