state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
ACT,<10 sites,,17,157.4,16,152.4,1,5,14,0,0
NSW,<10 sites,,964,22934.925,957,22799.955,20,121.7,226.2,2,13.27
QLD,<10 sites,,773,9680.8,766,9302,30,378.8,577.6,0,0
SA,<10 sites,,823,120535.05,779,34122.95,89,25329.3,11882.2,12,61083
TAS,<10 sites,,212,3474.155,209,3416.9,5,53,93.6,2,4.255
VIC,<10 sites,,1437,321245.274,1394,107238.234,60,5611.2,14596.1,22,208395.94
ACT,2902,BUSINESS,10,482.1,9,477.1,1,5,14,0,0
ACT,2611,(blank),11,98.3,10,83.3,2,15,28.4,0,0
ACT,2900,(blank),11,44280,11,44280,0,0,0,0,0
ACT,2904,BUSINESS,12,232.9,12,232.9,0,0,0,0,0
ACT,2914,BUSINESS,14,554,14,554,0,0,0,0,0
ACT,2605,BUSINESS,23,850.6,23,810.1,4,40.5,147,0,0
ACT,2903,BUSINESS,23,375.6,23,375.6,0,0,0,0,0
ACT,2604,BUSINESS,24,388,21,357.6,5,30.4,67.6,0,0
ACT,2906,BUSINESS,24,745.8,24,745.8,0,0,0,0,0
ACT,2609,RESIDENTIAL,25,311.9,25,301.9,1,10,10.5,0,0
ACT,2614,BUSINESS,28,394.6,28,394.6,0,0,0,0,0
ACT,2607,BUSINESS,30,727.9,30,727.9,0,0,0,0,0
ACT,2905,BUSINESS,30,788.3,30,788.3,0,0,0,0,0
ACT,2612,BUSINESS,38,1457.3,38,1457.3,0,0,0,0,0
ACT,2913,BUSINESS,39,1344.4,38,1302.6,2,41.8,93.2,0,0
ACT,2615,BUSINESS,44,1511.6,42,1189,2,22.6,32.7,1,300
ACT,2912,BUSINESS,45,3094.1,42,2879.4,2,19.7,94,1,195
