"LGA_CODE22","LGA_NAME22","POST_CODE_21"
"10050","Albury","2640"
"10050","Albury","2641"
"10050","Albury","2642"
"10050","Albury","3690"
"10050","Albury","3691"
"10180","Armidale","2350"
"10180","Armidale","2354"
"10180","Armidale","2358"
"10180","Armidale","2359"
"10180","Armidale","2365"
"10180","Armidale","2369"
"10180","Armidale","2370"
"10180","Armidale","2440"
"10180","Armidale","2453"
"10180","Armidale","2454"
"10250","Ballina","2471"
"10250","Ballina","2472"
"10250","Ballina","2477"
"10250","Ballina","2478"
"10250","Ballina","2479"
"10250","Ballina","2480"
"10250","Ballina","2481"
"10300","Balranald","2648"
"10300","Balranald","2711"
"10300","Balranald","2715"
"10300","Balranald","2736"
"10300","Balranald","2737"
"10300","Balranald","2738"
"10300","Balranald","2878"
"10300","Balranald","3501"
"10300","Balranald","3549"
"10300","Balranald","3597"
"10300","Balranald","3599"
"10470","Bathurst","2583"
"10470","Bathurst","2787"
"10470","Bathurst","2793"
"10470","Bathurst","2795"
"10470","Bathurst","2798"
"10470","Bathurst","2799"
"10470","Bathurst","2800"
"10470","Bathurst","2847"
"10470","Bathurst","2850"
"10500","Bayside (NSW)","2015"
"10500","Bayside (NSW)","2018"
"10500","Bayside (NSW)","2019"
"10500","Bayside (NSW)","2020"
"10500","Bayside (NSW)","2032"
"10500","Bayside (NSW)","2033"
"10500","Bayside (NSW)","2035"
"10500","Bayside (NSW)","2036"
"10500","Bayside (NSW)","2044"
"10500","Bayside (NSW)","2204"
"10500","Bayside (NSW)","2205"
"10500","Bayside (NSW)","2206"
"10500","Bayside (NSW)","2207"
"10500","Bayside (NSW)","2208"
"10500","Bayside (NSW)","2216"
"10500","Bayside (NSW)","2217"
"10500","Bayside (NSW)","2218"
"10500","Bayside (NSW)","2219"
"10500","Bayside (NSW)","2220"
"10550","Bega Valley","2545"
"10550","Bega Valley","2546"
"10550","Bega Valley","2548"
"10550","Bega Valley","2549"
"10550","Bega Valley","2550"
"10550","Bega Valley","2551"
"10550","Bega Valley","2630"
"10550","Bega Valley","2631"
"10550","Bega Valley","2632"
"10550","Bega Valley","3890"
"10550","Bega Valley","3891"
"10550","Bega Valley","3892"
"10600","Bellingen","2448"
"10600","Bellingen","2449"
"10600","Bellingen","2450"
"10600","Bellingen","2453"
"10600","Bellingen","2454"
"10600","Bellingen","2455"
"10650","Berrigan","2646"
"10650","Berrigan","2647"
"10650","Berrigan","2712"
"10650","Berrigan","2713"
"10650","Berrigan","2714"
"10650","Berrigan","3641"
"10650","Berrigan","3644"
"10650","Berrigan","3730"
"10750","Blacktown","2145"
"10750","Blacktown","2146"
"10750","Blacktown","2147"
"10750","Blacktown","2148"
"10750","Blacktown","2153"
"10750","Blacktown","2155"
"10750","Blacktown","2164"
"10750","Blacktown","2175"
"10750","Blacktown","2178"
"10750","Blacktown","2747"
"10750","Blacktown","2756"
"10750","Blacktown","2759"
"10750","Blacktown","2760"
"10750","Blacktown","2761"
"10750","Blacktown","2762"
"10750","Blacktown","2763"
"10750","Blacktown","2765"
"10750","Blacktown","2766"
"10750","Blacktown","2767"
"10750","Blacktown","2768"
"10750","Blacktown","2769"
"10750","Blacktown","2770"
"10800","Bland","2594"
"10800","Bland","2665"
"10800","Bland","2666"
"10800","Bland","2668"
"10800","Bland","2669"
"10800","Bland","2671"
"10800","Bland","2672"
"10800","Bland","2675"
"10800","Bland","2721"
"10800","Bland","2810"
"10800","Bland","2871"
