,Year,Lga,Type,TotalCapacity,BatteryCapacity,SolarCapacity,OtherCapacity,TotalDerConnections,BatteryConnections,SolarConnections,OtherConnections,TotalBusinesses,PrimaryIndustry,SecondaryIndustry,TertiaryIndustry,QuaternaryIndustry,SmallBusinesses,MediumBusinesses,LargeBusinesses
0,2021,10050.0,BUSINESS,75042.76,6.0,75036.76,0.0,4076.0,6.0,4070.0,0.0,4711.0,252.0,1219.0,2759.0,475.0,2717.0,1855.0,139.0
1,2022,10050.0,BUSINESS,84386.78,90.0,84201.92,94.86,4382.0,12.0,4358.0,12.0,4995.0,258.0,1308.0,2912.0,510.0,2830.0,2014.0,155.0
2,2023,10050.0,BUSINESS,90985.83,294.0,90596.97,94.86,4578.0,28.0,4544.0,12.0,5127.0,259.0,1358.0,2978.0,527.0,2876.0,2087.0,164.0
3,2024,10050.0,BUSINESS,96094.93,434.6,95565.47,94.86,4846.0,38.0,4802.0,12.0,5215.0,256.0,1383.0,3048.0,542.0,2861.0,2184.0,175.0
4,2021,10180.0,BUSINESS,37060.2,96.0,36964.2,0.0,2464.0,18.0,2464.0,0.0,2785.0,869.0,423.0,1245.0,248.0,1729.0,995.0,61.0
5,2022,10180.0,BUSINESS,36620.6,96.0,36524.6,0.0,2432.0,18.0,2432.0,0.0,2899.0,889.0,438.0,1296.0,256.0,1668.0,1162.0,67.0
6,2023,10180.0,BUSINESS,36730.4,96.0,36634.4,0.0,2422.0,18.0,2422.0,0.0,2900.0,859.0,443.0,1337.0,261.0,1599.0,1218.0,83.0
7,2024,10180.0,BUSINESS,37301.0,96.0,37205.0,0.0,2430.0,18.0,2430.0,0.0,2911.0,861.0,440.0,1333.0,263.0,1607.0,1210.0,81.0
8,2021,10250.0,BUSINESS,63233.8,480.0,62753.8,0.0,4358.0,60.0,4352.0,0.0,4719.0,607.0,1128.0,2457.0,525.0,2868.0,1769.0,82.0
9,2022,10250.0,BUSINESS,62909.0,500.0,62409.0,0.0,4344.0,64.0,4338.0,0.0,4925.0,608.0,1175.0,2581.0,558.0,2911.0,1920.0,93.0
10,2023,10250.0,BUSINESS,62954.2,510.0,62444.2,0.0,4338.0,66.0,4332.0,0.0,5052.0,592.0,1256.0,2638.0,565.0,2956.0,2003.0,93.0
11,2024,10250.0,BUSINESS,62944.2,486.0,62458.2,0.0,4286.0,60.0,4280.0,0.0,5178.0,578.0,1270.0,2745.0,588.0,3026.0,2046.0,109.0
12,2021,10300.0,BUSINESS,50643.21,60.0,50583.21,0.0,1586.0,6.0,1586.0,0.0,318.0,169.0,41.0,97.0,10.0,126.0,177.0,15.0
13,2022,10300.0,BUSINESS,59970.174,60.0,59910.174,0.0,1818.0,6.0,1818.0,0.0,331.0,177.0,42.0,110.0,11.0,135.0,167.0,19.0
14,2023,10300.0,BUSINESS,66744.974,60.0,66684.974,0.0,1964.0,6.0,1964.0,0.0,323.0,169.0,44.0,100.0,9.0,132.0,170.0,21.0
15,2024,10300.0,BUSINESS,72985.374,60.0,72925.374,0.0,2060.0,6.0,2060.0,0.0,336.0,176.0,46.0,109.0,14.0,128.0,184.0,17.0
16,2021,10470.0,BUSINESS,60845.4,120.0,60725.4,0.0,3362.0,24.0,3362.0,0.0,3583.0,699.0,872.0,1714.0,297.0,2110.0,1388.0,85.0
17,2022,10470.0,BUSINESS,58852.0,120.0,58732.0,0.0,3344.0,24.0,3344.0,0.0,3767.0,722.0,905.0,1830.0,310.0,2127.0,1554.0,89.0
18,2023,10470.0,BUSINESS,57872.8,120.0,57752.8,0.0,3320.0,24.0,3320.0,0.0,3861.0,713.0,953.0,1861.0,333.0,2117.0,1631.0,113.0
19,2024,10470.0,BUSINESS,58948.6,120.0,58828.6,0.0,3346.0,24.0,3346.0,0.0,3870.0,695.0,946.0,1889.0,331.0,2087.0,1669.0,107.0
20,2021,10500.0,BUSINESS,136044.08,7106.0,119938.08,9000.0,4318.0,68.0,4294.0,12.0,17668.0,58.0,3851.0,11618.0,2124.0,11640.0,5460.0,568.0
21,2022,10500.0,BUSINESS,142414.41999999998,7124.4,126123.1,9166.92,4646.0,72.0,4598.0,36.0,18332.0,60.0,4096.0,11855.0,2290.0,11800.0,5925.0,601.0
22,2023,10500.0,BUSINESS,148503.86,7124.4,132212.54,9166.92,4846.0,72.0,4798.0,36.0,18843.0,59.0,4143.0,12245.0,2379.0,11667.0,6496.0,680.0
23,2024,10500.0,BUSINESS,162114.62,7154.4,145793.3,9166.92,5364.0,78.0,5306.0,40.0,19596.0,62.0,4346.0,12723.0,2447.0,11964.0,6911.0,720.0
24,2021,10550.0,BUSINESS,26108.6,308.4,25800.2,0.0,2356.0,36.0,2332.0,0.0,3159.0,548.0,778.0,1540.0,287.0,1878.0,1235.0,46.0
25,2022,10550.0,BUSINESS,26435.399999999998,308.4,26127.0,0.0,2366.0,36.0,2342.0,0.0,3263.0,555.0,819.0,1595.0,300.0,1884.0,1343.0,39.0
26,2023,10550.0,BUSINESS,26630.079999999998,308.4,26321.68,0.0,2374.0,36.0,2350.0,0.0,3376.0,553.0,868.0,1627.0,321.0,1864.0,1459.0,53.0
27,2024,10550.0,BUSINESS,27774.28,414.4,27359.079999999998,0.0,2424.0,60.0,2376.0,0.0,3422.0,558.0,877.0,1636.0,332.0,1909.0,1448.0,62.0
28,2021,10600.0,BUSINESS,38703.6,114.0,38589.6,0.0,2288.0,18.0,2282.0,0.0,1261.0,298.0,247.0,579.0,135.0,816.0,433.0,12.0
29,2022,10600.0,BUSINESS,38465.4,114.0,38351.4,0.0,2288.0,18.0,2282.0,0.0,1325.0,295.0,246.0,631.0,149.0,841.0,474.0,16.0
30,2023,10600.0,BUSINESS,38604.8,114.0,38490.8,0.0,2296.0,18.0,2290.0,0.0,1339.0,295.0,263.0,624.0,156.0,842.0,479.0,18.0
31,2024,10600.0,BUSINESS,38865.2,114.0,38751.2,0.0,2300.0,18.0,2294.0,0.0,1344.0,300.0,269.0,631.0,138.0,856.0,478.0,17.0
