,Year,Lga,Type,TotalCapacity,BatteryCapacity,SolarCapacity,OtherCapacity,TotalDerConnections,BatteryConnections,SolarConnections,OtherConnections,TotalPopulation,PopulationDensity,MedianAge,MedianEquivalisedHouseholdIncome,Certificate,AdvDiploma,BachelorDegree,GraduateDiploma,Postgraduate,TotalDwelling
0,2021,10050.0,RESIDENTIAL,295554.06,3340.7999999999997,292189.66,0.0,67024.0,626.0,66910.0,0.0,56067.0,183.4,39.1,947.0,24.0,9.2,13.1,2.4,3.7,24118.0
1,2022,10050.0,RESIDENTIAL,331053.49,5320.0,325670.29,0.0,71602.0,906.0,71244.0,0.0,56665.0,185.4,39.2,947.0,24.0,9.2,13.1,2.4,3.7,24118.0
2,2023,10050.0,RESIDENTIAL,356914.87,6584.2,350274.87,0.0,74866.0,1020.0,74424.0,0.0,57509.0,188.2,39.3,947.0,24.0,9.2,13.1,2.4,3.7,24118.0
3,2024,10050.0,RESIDENTIAL,395117.33,8379.6,386714.33,0.0,79230.0,1190.0,78702.0,0.0,58317.0,190.8,39.3,947.0,24.0,9.2,13.1,2.4,3.7,24118.0
4,2021,10180.0,RESIDENTIAL,184111.828,4266.2,179818.028,0.0,43930.0,896.0,43876.0,0.0,29332.0,3.8,36.9,924.0,18.4,7.6,15.0,2.8,8.8,12055.0
5,2022,10180.0,RESIDENTIAL,185309.294,4275.2,181013.454,0.0,44058.0,896.0,44004.0,0.0,29361.0,3.8,37.0,924.0,18.4,7.6,15.0,2.8,8.8,12055.0
6,2023,10180.0,RESIDENTIAL,185830.654,4333.2,181469.854,0.0,44128.0,906.0,44074.0,0.0,29588.0,3.8,37.0,924.0,18.4,7.6,15.0,2.8,8.8,12055.0
7,2024,10180.0,RESIDENTIAL,188704.734,4412.6,184282.934,0.0,44452.0,918.0,44396.0,0.0,29646.0,3.8,37.0,924.0,18.4,7.6,15.0,2.8,8.8,12055.0
8,2021,10250.0,RESIDENTIAL,367205.0,8214.0,358991.0,0.0,90342.0,1668.0,90282.0,0.0,46196.0,95.3,47.7,926.0,22.6,10.3,16.1,2.5,4.1,19700.0
9,2022,10250.0,RESIDENTIAL,367467.08,8194.0,359273.08,0.0,90350.0,1664.0,90290.0,0.0,46849.0,96.6,47.8,926.0,22.6,10.3,16.1,2.5,4.1,19700.0
10,2023,10250.0,RESIDENTIAL,367496.08,8184.0,359311.68,0.0,90310.0,1662.0,90250.0,0.0,47277.0,97.5,47.7,926.0,22.6,10.3,16.1,2.5,4.1,19700.0
11,2024,10250.0,RESIDENTIAL,369515.48,8293.2,361222.48,0.0,90396.0,1678.0,90334.0,0.0,47935.0,98.8,47.5,926.0,22.6,10.3,16.1,2.5,4.1,19700.0
12,2021,10300.0,RESIDENTIAL,55714.12,582.4,55131.72,0.0,9514.0,66.0,9500.0,0.0,2208.0,0.1,43.4,892.0,18.0,5.5,6.3,0.6,1.1,922.0
13,2022,10300.0,RESIDENTIAL,61096.25,644.4,60451.85,0.0,9962.0,78.0,9938.0,0.0,2210.0,0.1,43.9,892.0,18.0,5.5,6.3,0.6,1.1,922.0
14,2023,10300.0,RESIDENTIAL,65212.93,654.4,64558.53,0.0,10386.0,80.0,10362.0,0.0,2202.0,0.1,43.4,892.0,18.0,5.5,6.3,0.6,1.1,922.0
15,2024,10300.0,RESIDENTIAL,71513.73,1046.4,70467.33,0.0,10936.0,102.0,10896.0,0.0,2219.0,0.1,43.4,892.0,18.0,5.5,6.3,0.6,1.1,922.0
16,2021,10470.0,RESIDENTIAL,277415.158,3919.2000000000003,273426.358,0.0,57406.0,768.0,57364.0,0.0,43674.0,11.4,38.2,1009.0,24.9,8.4,13.0,2.2,3.9,17518.0
17,2022,10470.0,RESIDENTIAL,279664.89,3935.2000000000003,275494.43,0.0,57594.0,772.0,57548.0,0.0,44110.0,11.6,38.3,1009.0,24.9,8.4,13.0,2.2,3.9,17518.0
18,2023,10470.0,RESIDENTIAL,281258.83,3983.2000000000003,277206.02999999997,0.0,57754.0,778.0,57706.0,0.0,44606.0,11.7,38.4,1009.0,24.9,8.4,13.0,2.2,3.9,17518.0
19,2024,10470.0,RESIDENTIAL,290195.88,4254.6,285918.08,0.0,58584.0,814.0,58522.0,0.0,44939.0,11.8,38.5,1009.0,24.9,8.4,13.0,2.2,3.9,17518.0
20,2021,10500.0,RESIDENTIAL,228557.354,6847.8,221710.154,0.0,55328.0,1154.0,55098.0,0.0,176229.0,3481.4,35.6,1187.0,13.3,10.4,22.5,1.7,9.5,71347.0
21,2022,10500.0,RESIDENTIAL,261395.29,7802.8,253593.09,0.0,59370.0,1330.0,59068.0,0.0,177992.0,3516.2,35.6,1187.0,13.3,10.4,22.5,1.7,9.5,71347.0
22,2023,10500.0,RESIDENTIAL,291235.48,9090.2,282103.18,0.0,62586.0,1540.0,62220.0,0.0,182945.0,3614.1,35.3,1187.0,13.3,10.4,22.5,1.7,9.5,71347.0
23,2024,10500.0,RESIDENTIAL,336310.29600000003,12498.6,323798.396,0.0,67074.0,1990.0,66586.0,0.0,185880.0,3672.0,35.3,1187.0,13.3,10.4,22.5,1.7,9.5,71347.0
24,2021,10550.0,RESIDENTIAL,121393.198,1989.0,119404.198,0.0,34514.0,352.0,34468.0,0.0,35770.0,5.7,51.9,794.0,24.8,9.0,12.4,2.7,3.5,17546.0
25,2022,10550.0,RESIDENTIAL,123262.88,2316.6,120945.88,0.0,34768.0,378.0,34696.0,0.0,35985.0,5.7,52.2,794.0,24.8,9.0,12.4,2.7,3.5,17546.0
26,2023,10550.0,RESIDENTIAL,124808.69,2600.4,122207.69,0.0,34950.0,402.0,34854.0,0.0,36278.0,5.8,52.2,794.0,24.8,9.0,12.4,2.7,3.5,17546.0
27,2024,10550.0,RESIDENTIAL,128668.212,2759.6,125907.812,0.0,35396.0,430.0,35280.0,0.0,36593.0,5.8,52.5,794.0,24.8,9.0,12.4,2.7,3.5,17546.0
28,2021,10600.0,RESIDENTIAL,168903.0,3499.8,165390.0,0.0,43240.0,756.0,43210.0,0.0,13203.0,8.2,50.0,774.0,23.1,9.7,15.0,3.1,4.2,5821.0
29,2022,10600.0,RESIDENTIAL,169138.25999999998,3493.8,165644.46,0.0,43242.0,750.0,43218.0,0.0,13261.0,8.3,50.6,774.0,23.1,9.7,15.0,3.1,4.2,5821.0
30,2023,10600.0,RESIDENTIAL,169398.46,3493.8,165904.66,0.0,43268.0,750.0,43244.0,0.0,13231.0,8.3,51.1,774.0,23.1,9.7,15.0,3.1,4.2,5821.0
31,2024,10600.0,RESIDENTIAL,172038.02,3668.4,168371.62,0.0,43556.0,782.0,43526.0,0.0,13278.0,8.3,51.6,774.0,23.1,9.7,15.0,3.1,4.2,5821.0
32,2021,10650.0,RESIDENTIAL,165898.645,449.0,165449.645,0.0,36621.0,91.0,36605.0,0.0,8615.0,4.2,51.9,755.0,23.2,6.9,8.0,1.4,1.0,3894.0
33,2022,10650.0,RESIDENTIAL,185429.75,864.3,184549.45,0.0,38669.0,173.0,38604.0,0.0,8652.0,4.2,52.8,755.0,23.2,6.9,8.0,1.4,1.0,3894.0
34,2023,10650.0,RESIDENTIAL,198285.046,1630.7,196630.346,0.0,40182.0,305.0,40066.0,0.0,8643.0,4.2,53.1,755.0,23.2,6.9,8.0,1.4,1.0,3894.0
35,2024,10650.0,RESIDENTIAL,217925.824,3097.4,214820.424,0.0,42182.0,449.0,42025.0,0.0,8666.0,4.2,53.3,755.0,23.2,6.9,8.0,1.4,1.0,3894.0
36,2021,10750.0,RESIDENTIAL,1257487.19,0.0,1257181.19,306.0,247222.0,0.0,247198.0,24.0,399925.0,1674.4,34.4,1112.0,15.4,9.0,19.4,1.5,8.3,127688.0
37,2022,10750.0,RESIDENTIAL,1319155.108,0.0,1318849.108,306.0,253970.0,0.0,253946.0,24.0,410944.0,1720.5,34.7,1112.0,15.4,9.0,19.4,1.5,8.3,127688.0
38,2023,10750.0,RESIDENTIAL,1383786.248,20.0,1383373.248,393.0,260922.0,4.0,260888.0,30.0,426075.0,1783.9,34.7,1112.0,15.4,9.0,19.4,1.5,8.3,127688.0
39,2024,10750.0,RESIDENTIAL,1513586.906,30.0,1513163.906,393.0,273810.0,6.0,273774.0,30.0,438843.0,1837.3,34.9,1112.0,15.4,9.0,19.4,1.5,8.3,127688.0
40,2021,10800.0,RESIDENTIAL,105764.0,456.0,105308.0,0.0,21582.0,84.0,21582.0,0.0,5544.0,0.6,43.3,876.0,24.1,6.5,8.1,1.2,1.0,2783.0
41,2022,10800.0,RESIDENTIAL,106194.8,456.0,105738.8,0.0,21652.0,84.0,21652.0,0.0,5493.0,0.6,43.5,876.0,24.1,6.5,8.1,1.2,1.0,2783.0
42,2023,10800.0,RESIDENTIAL,106303.2,456.0,105847.2,0.0,21654.0,84.0,21654.0,0.0,5463.0,0.6,43.5,876.0,24.1,6.5,8.1,1.2,1.0,2783.0
