,POA 2021 Code,POA 2021 Area (km2),MMM 2023,MMM 2023 Area in POA 2021 (km2)
,800,3.1731,2,3.2
,810,24.4283,2,24.4
,812,35.8899,2,35.9
,820,39.0642,2,39.1
,822,150775.803,2,357.5
,822,150775.803,5,1778.6
,822,150775.803,6,43449.4
,822,150775.803,7,105190.3
,828,28.6532,2,28.7
,829,44.8402,2,44.8
,830,235.004,2,29.3
,830,235.004,5,205.7
,832,19.7272,2,19.7
,834,32.6302,2,32.6
,835,76.8403,2,76.8
,836,130.9305,2,130.9
,837,130.7766,2,47.1
,837,130.7766,5,83.7
,838,86.3366,2,39.1
,838,86.3366,5,47.2
,839,1.1346,2,1.1
,840,290.5631,6,290.6
,841,142.2064,5,142.2
,845,115.696,6,115.7
,846,146.7377,6,146.7
,847,402.0523,6,402.1
,850,551.1508,6,551.2
,852,441673.3068,6,7394.6
,852,441673.3068,7,434278.7
,853,106.2851,6,106.3
,854,12.5634,7,12.6
,860,42.0605,7,42.1
,862,117528.152,7,117528.2
,870,59.6121,6,59.6
,872,989085.5326,6,42545.7
,872,989085.5326,7,946539.9
,873,172.5253,6,172.5
,874,72.1518,6,72.2
,875,29.0124,6,29.0
,880,88.6672,7,88.7
,885,2.7429,7,2.7
,886,13.5083,6,13.5
,2000,4.2871,1,4.3
,2007,0.5588,1,0.6
,2008,0.845,1,0.8
,2009,0.9299,1,0.9
,2010,2.1733,1,2.2
,2011,1.4054,1,1.4
,2015,4.2157,1,4.2
,2016,1.1717,1,1.2
,2017,1.9386,1,1.9
,2018,3.9305,1,3.9
,2019,7.3691,1,7.4
,2020,11.9607,1,12.0
,2021,5.7186,1,5.7
,2022,1.9228,1,1.9
,2023,2.3731,1,2.4
,2024,1.9321,1,1.9
,2025,1.2307,1,1.2
,2026,3.6477,1,3.6
,2027,1.3761,1,1.4
,2028,0.7929,1,0.8
,2029,2.5286,1,2.5
,2030,4.6636,1,4.7
,2031,6.094,1,6.1
,2032,2.475,1,2.5
,2033,2.6691,1,2.7
,2034,3.0497,1,3.1
,2035,8.1207,1,8.1
,2036,15.7131,1,15.7
,2037,2.1374,1,2.1
,2038,1.4931,1,1.5
,2039,1.8337,1,1.8
,2040,4.754,1,4.8
,2041,2.4666,1,2.5
,2042,2.0446,1,2.0
,2043,0.8075,1,0.8
,2044,3.8539,1,3.9
,2045,2.3828,1,2.4
,2046,6.0148,1,6.0
,2047,2.3101,1,2.3
,2048,1.218,1,1.2
,2049,1.929,1,1.9
,2050,1.5031,1,1.5
,2060,2.6912,1,2.7
,2061,0.6316,1,0.6
,2062,1.5527,1,1.6
,2063,2.7281,1,2.7
,2064,2.5348,1,2.5
,2065,5.6781,1,5.7
,2066,9.5786,1,9.6
,2067,5.8196,1,5.8
,2068,5.6655,1,5.7
,2069,7.5302,1,7.5
,2070,7.4617,1,7.5
,2071,7.8221,1,7.8
,2072,3.7885,1,3.8
,2073,10.2515,1,10.3
,2074,22.0151,1,22.0
,2075,17.7425,1,17.7
,2076,15.8484,1,15.8
,2077,22.8664,1,22.9
,2079,11.0623,1,11.1
,2080,10.5767,1,10.6
,2081,40.1939,1,4.4
,2081,40.1939,2,35.8
,2082,9.6876,1,4.1
,2082,9.6876,2,4.5
,2082,9.6876,5,1.1
,2083,45.774,2,45.5
,2083,45.774,6,0.3
,2084,107.3731,1,62.9
,2084,107.3731,2,44.4
,2085,16.0513,1,16.1
,2086,8.0742,1,8.1
,2087,8.9311,1,8.9
,2088,8.6503,1,8.7
,2089,1.5036,1,1.5
,2090,2.0654,1,2.1
,2092,3.1079,1,3.1
,2093,7.529,1,7.5
,2094,1.1683,1,1.2
,2095,5.5668,1,5.6
,2096,3.4532,1,3.5
,2097,4.7508,1,4.8
,2099,18.7149,1,18.7
,2100,13.4698,1,13.5
,2101,26.6694,1,26.7
,2102,4.136,1,4.1
,2103,4.6646,1,4.7
,2104,3.7163,1,3.7
,2105,2.1888,1,1.3
,2105,2.1888,2,0.9
,2106,3.8119,1,3.8
,2107,7.8756,1,7.9
,2108,2.9542,1,2.7
,2108,2.9542,2,0.2
,2110,4.3304,1,4.3
,2111,4.7162,1,4.7
,2112,9.3018,1,9.3
,2113,13.2159,1,13.2
,2114,7.3639,1,7.4
,2115,3.9347,1,3.9
,2116,3.7975,1,3.8
,2117,7.1268,1,7.1
,2118,8.5068,1,8.5
,2119,6.7407,1,6.7
,2120,13.8137,1,13.8
,2121,9.2015,1,9.2
,2122,9.0576,1,9.1
,2125,9.2916,1,9.3
,2126,8.2603,1,8.3
,2127,8.1408,1,8.1
,2128,2.7,1,2.7
,2130,1.2031,1,1.2
,2131,3.4144,1,3.4
,2132,2.4354,1,2.4
,2133,2.5503,1,2.6
,2134,2.4456,1,2.4
,2135,6.5375,1,6.5
,2136,3.4638,1,3.5
,2137,7.3557,1,7.4
,2138,3.7811,1,3.8
,2140,3.7487,1,3.7
,2141,11.9359,1,11.9
,2142,10.9833,1,11.0
,2143,4.3104,1,4.3
,2144,8.5637,1,8.6
,2145,27.5671,1,27.6
,2146,6.0077,1,6.0
,2147,15.9973,1,16.0
,2148,37.6817,1,37.7
,2150,5.8687,1,5.9
,2151,10.7334,1,10.7
,2152,4.2857,1,4.3
,2153,25.5852,1,25.6
,2154,18.8102,1,18.8
,2155,36.388,1,36.4
,2156,62.9548,1,42.1
,2156,62.9548,2,20.8
,2157,148.4858,2,79.4
,2157,148.4858,5,69.1
,2158,41.7948,1,38.5
,2158,41.7948,2,3.3
,2159,127.4464,1,23.6
,2159,127.4464,2,37.3
,2159,127.4464,5,66.6
,2160,8.4346,1,8.4
,2161,11.2122,1,11.2
,2162,5.7908,1,5.8
,2163,6.3533,1,6.4
,2164,20.5159,1,20.5
,2165,11.12,1,11.1
,2166,15.2543,1,15.3
,2167,6.9946,1,7.0
,2168,12.8684,1,12.9
,2170,54.319,1,54.3
,2171,21.5331,1,21.5
,2172,3.6787,1,3.7
,2173,192.8683,1,63.0
,2173,192.8683,2,129.8
,2174,6.0563,1,6.1
,2175,21.9683,1,22.0
,2176,19.8468,1,19.8
,2177,5.1959,1,5.2
,2178,54.3241,1,54.3
,2179,36.53,1,36.5
,2190,9.7772,1,9.8
,2191,1.7826,1,1.8
,2192,2.731,1,2.7
,2193,4.1963,1,4.2
,2194,3.3734,1,3.4
,2195,3.5488,1,3.5
,2196,7.0679,1,7.1
,2197,2.9286,1,2.9
,2198,3.3233,1,3.3
,2199,4.6181,1,4.6
,2200,13.9792,1,14.0
,2203,2.0929,1,2.1
,2204,5.7904,1,5.8
,2205,4.244,1,4.2
,2206,5.9786,1,6.0
,2207,7.1852,1,7.2
,2208,4.459,1,4.5
,2209,4.2502,1,4.3
,2210,11.0963,1,11.1
,2211,7.3323,1,7.3
,2212,6.4088,1,6.4
,2213,10.0369,1,10.0
,2214,5.3711,1,5.4
,2216,5.5962,1,5.6
,2217,6.2487,1,6.2
,2218,2.6615,1,2.7
,2219,3.7807,1,3.8
,2220,5.144,1,5.1
,2221,5.3796,1,5.4
,2222,2.5457,1,2.5
,2223,7.253,1,7.3
,2224,4.6882,1,4.7
,2225,2.1022,1,2.1
,2226,5.2222,1,5.2
,2227,4.5976,1,4.6
,2228,5.9464,1,5.9
,2229,10.7805,1,10.8
,2230,9.0449,1,7.6
,2230,9.0449,5,1.5
,2231,19.3454,1,19.3
,2232,153.5693,1,14.4
,2232,153.5693,2,139.2
,2233,40.831,1,15.3
,2233,40.831,2,25.5
,2234,39.7248,1,39.7
,2250,691.6342,1,129.4
,2250,691.6342,2,218.0
,2250,691.6342,5,344.2
,2251,43.5444,1,43.5
,2256,72.7648,1,34.6
,2256,72.7648,2,38.2
,2257,29.3795,1,29.4
,2258,121.2568,1,29.2
,2258,121.2568,2,92.1
,2259,524.7348,1,193.6
,2259,524.7348,2,101.7
,2259,524.7348,5,229.5
,2260,23.6207,1,23.6
,2261,51.4591,1,51.5
,2262,33.7717,1,33.8
,2263,22.3942,1,22.4
,2264,115.1942,1,62.9
,2264,115.1942,2,52.3
,2265,136.0018,1,16.7
,2265,136.0018,2,119.3
,2267,3.6556,1,3.7
,2278,45.0568,1,45.1
,2280,27.927,1,27.9
,2281,30.9078,1,11.3
,2281,30.9078,2,19.6
,2282,11.2261,1,11.2
,2283,59.2496,1,59.3
,2284,24.2726,1,24.3
,2285,32.3918,1,32.4
,2286,25.2353,1,25.2
,2287,38.0741,1,38.1
,2289,11.413,1,11.4
,2290,35.6998,1,35.7
,2291,7.1942,1,7.2
,2292,2.873,1,2.9
,2293,1.326,1,1.3
,2294,2.0392,1,2.0
,2295,11.9768,1,12.0
,2296,0.7062,1,0.7
,2297,0.801,1,0.8
,2298,4.0311,1,4.0
,2299,5.2319,1,5.2
,2300,3.4557,1,3.5
,2302,0.8095,1,0.8
,2303,3.0401,1,3.0
,2304,39.3891,1,39.4
,2305,8.894,1,8.9
,2306,1.777,1,1.8
,2307,6.5582,1,6.6
,2308,1.7907,1,1.8
,2311,783.5898,5,783.6
,2312,181.2071,5,181.2
,2315,32.3446,4,32.3
,2316,73.9271,4,40.8
,2316,73.9271,5,33.2
,2317,9.734,4,9.7
,2318,259.5244,1,37.8
,2318,259.5244,2,221.7
,2319,29.6406,2,0.2
,2319,29.6406,5,29.4
,2320,403.8742,1,85.2
,2320,403.8742,2,163.6
,2320,403.8742,3,114.6
,2320,403.8742,5,40.5
,2321,361.6288,1,48.0
,2321,361.6288,2,126.4
,2321,361.6288,5,187.3
,2322,168.2091,1,149.9
,2322,168.2091,2,18.3
